Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

AD03_MNI.img	Telencephalon_L	478357	15.0545	183.6428	108.1091	26.5263	
AD03_MNI.img	Telencephalon_R	479921	13.3095	159.8916	108.4366	26.3089	
AD03_MNI.img	Diencephalon_L	7195	42.4463	159.2117	122.3571	14.0161	
AD03_MNI.img	Diencephalon_R	7111	44.3200	156.0907	121.4167	13.4454	
AD03_MNI.img	Mesencephalon	9646	60.4117	160.8043	132.9393	11.1847	
AD03_MNI.img	Metencephalon	143379	17.5541	156.0230	103.4722	23.5683	
AD03_MNI.img	Myelencephalon	4242	55.8535	151.0237	125.6478	14.8409	
AD03_MNI.img	CSF	151173	9.6731	128.0973	35.2783	15.9070	



Type1-L2 Statistics

AD03_MNI.img	CerebralCortex_L	243237	15.0545	183.6428	88.1235	21.1828	
AD03_MNI.img	CerebralCortex_R	241035	13.3095	140.6953	88.6576	20.1595	
AD03_MNI.img	CerebralNucli_L	11232	18.5236	155.5755	113.7154	17.0868	
AD03_MNI.img	CerebralNucli_R	12724	17.3420	155.5797	105.5336	27.1943	
AD03_MNI.img	Thalamus_L	4693	57.9879	145.0079	123.1700	10.5788	
AD03_MNI.img	Thalamus_R	4673	63.4414	150.7189	122.2200	10.9254	
AD03_MNI.img	BasalForebrain_L	2502	42.4463	159.2117	120.8323	18.7472	
AD03_MNI.img	BasalForebrain_R	2438	44.3200	156.0907	119.8769	17.1723	
AD03_MNI.img	Mesencephalon_L	4706	75.3460	156.3292	133.7194	9.7747	
AD03_MNI.img	Mesencephalon_R	4940	60.4117	160.8043	132.1961	12.3336	
AD03_MNI.img	Metencephalon_R	70928	17.5541	155.6483	104.1877	22.4905	
AD03_MNI.img	Metencephalon_L	72451	18.8035	156.0230	102.7718	24.5575	
AD03_MNI.img	Myelencephalon_L	1899	62.1210	151.0237	125.2447	16.7578	
AD03_MNI.img	Myelencephalon_R	2343	55.8535	151.0114	125.9744	13.0737	
AD03_MNI.img	WhiteMatter_L	223888	22.7250	162.2369	129.5407	10.3168	
AD03_MNI.img	WhiteMatter_R	226162	14.6978	159.8916	129.6796	11.1964	
AD03_MNI.img	Ventricle	93237	12.0839	128.0973	32.8776	16.1760	
AD03_MNI.img	Sulcus_L	32222	9.6731	120.5783	38.0076	13.9536	
AD03_MNI.img	Sulcus_R	25714	9.6834	119.3627	40.5629	15.3840	



Type1-L3 Statistics

AD03_MNI.img	Frontal_L	77292	15.0545	183.6428	87.7784	22.3176	
AD03_MNI.img	Frontal_R	76623	16.3564	139.5949	89.4815	20.7340	
AD03_MNI.img	Parietal_L	35447	15.7684	136.9661	91.5463	20.9167	
AD03_MNI.img	Parietal_R	38798	19.6684	136.5069	90.9660	20.0322	
AD03_MNI.img	Temporal_L	59534	18.7903	132.9409	84.3310	20.2274	
AD03_MNI.img	Temporal_R	56396	18.6016	131.0650	85.4113	18.1105	
AD03_MNI.img	Limbic_L	29362	16.1660	135.6361	89.7511	19.9340	
AD03_MNI.img	Limbic_R	30650	13.3095	140.6953	87.0990	20.9909	
AD03_MNI.img	Occipital_L	36056	23.6956	139.5843	91.9476	19.4062	
AD03_MNI.img	Occipital_R	33396	19.6446	136.0352	91.3419	20.4502	
AD03_MNI.img	Insula_L	6959	15.9775	130.6865	82.0605	23.6570	
AD03_MNI.img	Insula_R	6863	20.2165	129.6772	90.0977	19.9142	
AD03_MNI.img	BasalGang_L	9819	21.6041	155.5755	116.1411	15.7164	
AD03_MNI.img	BasalGang_R	11033	17.3420	155.5797	106.1823	28.9093	
AD03_MNI.img	Thalamus_L	4693	57.9879	145.0079	123.1700	10.5788	
AD03_MNI.img	Thalamus_R	4673	63.4414	150.7189	122.2200	10.9254	
AD03_MNI.img	BasalForebrain_L	2502	42.4463	159.2117	120.8323	18.7472	
AD03_MNI.img	BasalForebrain_R	2438	44.3200	156.0907	119.8769	17.1723	
AD03_MNI.img	midbrain_L	4706	75.3460	156.3292	133.7194	9.7747	
AD03_MNI.img	midbrain_R	4940	60.4117	160.8043	132.1961	12.3336	
AD03_MNI.img	Cerebellum_R	62552	17.5541	155.3385	100.7739	21.5503	
AD03_MNI.img	Cerebellum_L	64854	18.8035	154.5566	99.4885	23.6534	
AD03_MNI.img	Pons_L	7597	56.7300	156.0230	130.8006	9.8754	
AD03_MNI.img	Pons_R	8376	65.8512	155.6483	129.6823	8.8346	
