Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

AD04.img	Telencephalon_L	586780	0.0000e+00	7459.0000	2096.7016	730.0992	
AD04.img	Telencephalon_R	568289	0.0000e+00	7095.0000	2068.0684	741.1667	
AD04.img	Diencephalon_L	7761	47.0000	3424.0000	2451.8750	413.2471	
AD04.img	Diencephalon_R	7516	215.0000	5027.0000	2385.9561	463.4781	
AD04.img	Mesencephalon	10458	323.0000	4955.0000	2626.4498	371.1793	
AD04.img	Metencephalon	160731	0.0000e+00	3389.0000	1614.6484	491.6917	
AD04.img	Myelencephalon	4894	189.0000	4270.0000	1710.3110	344.5373	
AD04.img	CSF	226226	0.0000e+00	3451.0000	566.1362	303.3396	



Type1-L2 Statistics

AD04.img	CerebralCortex_L	309451	0.0000e+00	5529.0000	1660.4505	580.8264	
AD04.img	CerebralCortex_R	300224	0.0000e+00	5313.0000	1614.5296	595.0322	
AD04.img	CerebralNucli_L	14704	78.0000	3415.0000	1871.0461	849.4404	
AD04.img	CerebralNucli_R	16015	28.0000	4831.0000	1663.7585	931.9094	
AD04.img	Thalamus_L	5184	495.0000	3334.0000	2475.6724	349.4159	
AD04.img	Thalamus_R	5202	246.0000	3385.0000	2415.3029	374.2668	
AD04.img	BasalForebrain_L	2577	47.0000	3424.0000	2403.9975	515.0562	
AD04.img	BasalForebrain_R	2314	215.0000	5027.0000	2319.9859	613.6183	
AD04.img	Mesencephalon_L	5146	588.0000	3612.0000	2650.9262	336.0252	
AD04.img	Mesencephalon_R	5312	323.0000	4955.0000	2602.7365	400.8958	
AD04.img	Metencephalon_R	80727	0.0000e+00	3275.0000	1589.5385	492.2152	
AD04.img	Metencephalon_L	80004	24.0000	3389.0000	1639.9853	489.8600	
AD04.img	Myelencephalon_L	2371	189.0000	2418.0000	1664.4733	357.4715	
AD04.img	Myelencephalon_R	2523	428.0000	4270.0000	1753.3892	326.1016	
AD04.img	WhiteMatter_L	262626	28.0000	7459.0000	2623.3679	498.5890	
AD04.img	WhiteMatter_R	252052	21.0000	7095.0000	2633.9754	431.2641	
AD04.img	Ventricle	125826	0.0000e+00	3217.0000	541.4861	304.6851	
AD04.img	Sulcus_L	54428	0.0000e+00	3451.0000	616.2969	302.1021	
AD04.img	Sulcus_R	45973	0.0000e+00	2515.0000	574.2174	293.1821	



Type1-L3 Statistics

AD04.img	Frontal_L	93857	0.0000e+00	4439.0000	1727.2906	582.6852	
AD04.img	Frontal_R	90806	0.0000e+00	3683.0000	1747.7732	569.3157	
AD04.img	Parietal_L	49618	79.0000	3186.0000	1799.3866	541.8557	
AD04.img	Parietal_R	49713	14.0000	3051.0000	1719.0924	573.1424	
AD04.img	Temporal_L	70105	0.0000e+00	4093.0000	1504.9632	491.8039	
AD04.img	Temporal_R	65030	0.0000e+00	4780.0000	1408.1089	528.2219	
AD04.img	Limbic_L	38742	6.0000	3864.0000	1696.4977	621.4772	
AD04.img	Limbic_R	42298	5.0000	4968.0000	1586.5865	666.7477	
AD04.img	Occipital_L	48669	0.0000e+00	5529.0000	1638.5676	618.1538	
AD04.img	Occipital_R	44132	0.0000e+00	5313.0000	1606.0373	565.9119	
AD04.img	Insula_L	9937	1.0000	4724.0000	1445.9671	650.2016	
AD04.img	Insula_R	9806	24.0000	4537.0000	1423.2122	681.0472	
AD04.img	BasalGang_L	13229	78.0000	3415.0000	1859.2039	885.8168	
AD04.img	BasalGang_R	14456	28.0000	4831.0000	1638.5487	967.2149	
AD04.img	Thalamus_L	5184	495.0000	3334.0000	2475.6724	349.4159	
AD04.img	Thalamus_R	5202	246.0000	3385.0000	2415.3029	374.2668	
AD04.img	BasalForebrain_L	2577	47.0000	3424.0000	2403.9975	515.0562	
AD04.img	BasalForebrain_R	2314	215.0000	5027.0000	2319.9859	613.6183	
AD04.img	midbrain_L	5146	588.0000	3612.0000	2650.9262	336.0252	
AD04.img	midbrain_R	5312	323.0000	4955.0000	2602.7365	400.8958	
AD04.img	Cerebellum_R	72961	0.0000e+00	2903.0000	1508.6449	436.0270	
AD04.img	Cerebellum_L	72499	24.0000	2835.0000	1562.0733	437.4230	
AD04.img	Pons_L	7506	472.0000	3389.0000	2392.5984	290.8532	
AD04.img	Pons_R	7767	550.0000	3275.0000	2349.4483	305.4409	
AD04.img	Medulla_L	2371	189.0000	2418.0000	1664.4733	357.4715	
AD04.img	Medulla_R	2523	428.0000	4270.0000	1753.3892	326.1016	
