Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

Normal02_MNI.img	Telencephalon_L	524542	21.0272	209.3502	143.9818	30.1545	
Normal02_MNI.img	Telencephalon_R	525218	19.1714	203.5558	143.5067	30.7231	
Normal02_MNI.img	Diencephalon_L	8798	88.2856	202.9528	156.6507	16.6078	
Normal02_MNI.img	Diencephalon_R	8626	68.5554	210.6484	156.8861	17.3438	
Normal02_MNI.img	Mesencephalon	11300	85.0207	218.2699	171.7636	13.7281	
Normal02_MNI.img	Metencephalon	163056	24.8646	208.6698	137.1379	27.0024	
Normal02_MNI.img	Myelencephalon	4848	75.3235	194.1438	163.7840	16.2721	
Normal02_MNI.img	CSF	97984	13.3697	173.6646	60.9900	24.1329	



Type1-L2 Statistics

Normal02_MNI.img	CerebralCortex_L	268940	21.0272	209.3502	120.2522	21.4032	
Normal02_MNI.img	CerebralCortex_R	268773	19.1714	199.9840	119.0831	21.4977	
Normal02_MNI.img	CerebralNucli_L	13341	82.3737	191.7992	143.8902	17.9001	
Normal02_MNI.img	CerebralNucli_R	13774	36.7489	196.1386	143.9655	17.1806	
Normal02_MNI.img	Thalamus_L	5899	94.6253	187.9511	157.7554	13.2422	
Normal02_MNI.img	Thalamus_R	5814	72.1512	191.3185	157.8647	14.5861	
Normal02_MNI.img	BasalForebrain_L	2899	88.2856	202.9528	154.4028	21.7419	
Normal02_MNI.img	BasalForebrain_R	2812	68.5554	210.6484	154.8626	21.8356	
Normal02_MNI.img	Mesencephalon_L	5530	118.5583	215.4053	172.6387	12.1645	
Normal02_MNI.img	Mesencephalon_R	5770	85.0207	218.2699	170.9250	15.0275	
Normal02_MNI.img	Metencephalon_R	81184	24.8646	201.1129	136.6838	27.1383	
Normal02_MNI.img	Metencephalon_L	81872	38.3474	208.6698	137.5882	26.8595	
Normal02_MNI.img	Myelencephalon_L	2185	75.3235	194.1438	162.3597	18.1369	
Normal02_MNI.img	Myelencephalon_R	2663	93.8254	191.3924	164.9527	14.4604	
Normal02_MNI.img	WhiteMatter_L	242261	41.6852	207.4871	170.3296	11.1041	
Normal02_MNI.img	WhiteMatter_R	242671	54.8265	203.5558	170.5314	11.1036	
Normal02_MNI.img	Ventricle	33007	13.6072	173.6646	57.8911	30.6373	
Normal02_MNI.img	Sulcus_L	33752	13.3697	143.5715	62.9237	19.8484	
Normal02_MNI.img	Sulcus_R	31225	15.0387	138.3561	62.1756	19.8471	



Type1-L3 Statistics

Normal02_MNI.img	Frontal_L	86733	21.0272	209.3502	118.4712	22.3445	
Normal02_MNI.img	Frontal_R	84191	28.9083	179.4577	118.7205	21.6677	
Normal02_MNI.img	Parietal_L	43732	34.9263	188.6846	126.1761	20.9945	
Normal02_MNI.img	Parietal_R	47014	35.5193	188.0862	124.5760	21.4699	
Normal02_MNI.img	Temporal_L	62401	31.3915	196.9759	116.9783	19.8492	
Normal02_MNI.img	Temporal_R	62317	19.1714	172.8120	113.7955	20.2116	
Normal02_MNI.img	Limbic_L	31591	25.0375	173.6555	118.4504	20.1654	
Normal02_MNI.img	Limbic_R	33079	23.8290	199.9840	116.6020	20.7422	
Normal02_MNI.img	Occipital_L	39090	33.6032	180.5437	125.5163	20.4886	
Normal02_MNI.img	Occipital_R	36728	34.9738	184.9786	124.7525	20.4067	
Normal02_MNI.img	Insula_L	7160	38.7007	171.0270	115.8440	21.6219	
Normal02_MNI.img	Insula_R	7544	25.6330	176.8387	118.7980	23.0789	
Normal02_MNI.img	BasalGang_L	11574	82.3737	191.7992	145.9802	17.8721	
Normal02_MNI.img	BasalGang_R	11674	74.3850	196.1386	146.5382	16.6894	
Normal02_MNI.img	Thalamus_L	5899	94.6253	187.9511	157.7554	13.2422	
Normal02_MNI.img	Thalamus_R	5814	72.1512	191.3185	157.8647	14.5861	
Normal02_MNI.img	BasalForebrain_L	2899	88.2856	202.9528	154.4028	21.7419	
Normal02_MNI.img	BasalForebrain_R	2812	68.5554	210.6484	154.8626	21.8356	
Normal02_MNI.img	midbrain_L	5530	118.5583	215.4053	172.6387	12.1645	
Normal02_MNI.img	midbrain_R	5770	85.0207	218.2699	170.9250	15.0275	
Normal02_MNI.img	Cerebellum_R	71195	24.8646	199.7517	132.0581	25.4743	
Normal02_MNI.img	Cerebellum_L	72698	38.3474	198.1288	133.3932	25.2583	
Normal02_MNI.img	Pons_L	9174	92.8143	208.6698	170.8311	11.7541	
