Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

Normal04.img	Telencephalon_L	501330	60.0000	1742.0000	832.5277	251.0847	
Normal04.img	Telencephalon_R	508990	65.0000	2268.0000	924.7850	258.5617	
Normal04.img	Diencephalon_L	7962	238.0000	1010.0000	747.5593	94.7371	
Normal04.img	Diencephalon_R	8283	251.0000	1100.0000	781.6735	101.5743	
Normal04.img	Mesencephalon	10364	185.0000	1038.0000	786.8394	89.3063	
Normal04.img	Metencephalon	139118	93.0000	1000.0000	614.0925	123.3580	
Normal04.img	Myelencephalon	5070	91.0000	767.0000	527.8213	88.4697	
Normal04.img	CSF	103782	54.0000	1164.0000	283.8186	135.9078	



Type1-L2 Statistics

Normal04.img	CerebralCortex_L	259638	60.0000	1616.0000	696.7896	234.6292	
Normal04.img	CerebralCortex_R	261254	65.0000	2268.0000	778.9584	239.7410	
Normal04.img	CerebralNucli_L	11773	221.0000	972.0000	711.1684	94.8667	
Normal04.img	CerebralNucli_R	12621	287.0000	1074.0000	777.9560	108.9298	
Normal04.img	Thalamus_L	5347	238.0000	995.0000	757.5200	72.3172	
Normal04.img	Thalamus_R	5463	251.0000	1027.0000	788.4582	85.3162	
Normal04.img	BasalForebrain_L	2616	243.0000	1010.0000	727.2000	126.5428	
Normal04.img	BasalForebrain_R	2821	322.0000	1100.0000	768.5329	126.2555	
Normal04.img	Mesencephalon_L	5079	242.0000	959.0000	778.4384	73.0350	
Normal04.img	Mesencephalon_R	5286	185.0000	1038.0000	794.9118	101.8862	
Normal04.img	Metencephalon_R	69679	93.0000	952.0000	613.5253	119.5227	
Normal04.img	Metencephalon_L	69439	96.0000	1000.0000	614.6615	127.0877	
Normal04.img	Myelencephalon_L	2175	121.0000	767.0000	521.5500	97.1116	
Normal04.img	Myelencephalon_R	2896	91.0000	734.0000	532.5322	81.0582	
Normal04.img	WhiteMatter_L	229920	119.0000	1742.0000	992.0243	166.8437	
Normal04.img	WhiteMatter_R	235116	116.0000	1730.0000	1094.7049	162.9948	
Normal04.img	Ventricle	26146	61.0000	1122.0000	304.2737	172.7824	
Normal04.img	Sulcus_L	43492	58.0000	1164.0000	263.2136	111.9656	
Normal04.img	Sulcus_R	34145	54.0000	1120.0000	294.4009	127.8306	



Type1-L3 Statistics

Normal04.img	Frontal_L	80565	60.0000	1295.0000	638.4438	191.4050	
Normal04.img	Frontal_R	80096	104.0000	1469.0000	758.9182	201.6056	
Normal04.img	Parietal_L	42793	94.0000	1487.0000	785.5758	241.9116	
Normal04.img	Parietal_R	42866	119.0000	2268.0000	906.3995	262.2890	
Normal04.img	Temporal_L	59703	80.0000	1458.0000	625.4900	210.9705	
Normal04.img	Temporal_R	58100	73.0000	1678.0000	722.9223	219.8393	
Normal04.img	Limbic_L	29557	75.0000	1223.0000	641.9059	172.2751	
Normal04.img	Limbic_R	32803	65.0000	1229.0000	642.5447	183.1244	
Normal04.img	Occipital_L	41462	110.0000	1616.0000	884.6962	244.9786	
Normal04.img	Occipital_R	41983	85.0000	1624.0000	882.3911	253.9865	
Normal04.img	Insula_L	7141	94.0000	891.0000	528.7755	156.8092	
Normal04.img	Insula_R	7386	98.0000	1080.0000	673.9577	164.5477	
Normal04.img	BasalGang_L	10192	291.0000	972.0000	731.9259	79.9906	
Normal04.img	BasalGang_R	10642	371.0000	1074.0000	806.5099	89.3775	
Normal04.img	Thalamus_L	5347	238.0000	995.0000	757.5200	72.3172	
Normal04.img	Thalamus_R	5463	251.0000	1027.0000	788.4582	85.3162	
Normal04.img	BasalForebrain_L	2616	243.0000	1010.0000	727.2000	126.5428	
Normal04.img	BasalForebrain_R	2821	322.0000	1100.0000	768.5329	126.2555	
Normal04.img	midbrain_L	5079	242.0000	959.0000	778.4384	73.0350	
Normal04.img	midbrain_R	5286	185.0000	1038.0000	794.9118	101.8862	
Normal04.img	Cerebellum_R	60783	93.0000	952.0000	600.6654	120.0819	
Normal04.img	Cerebellum_L	61402	96.0000	1000.0000	603.7930	129.0725	
Normal04.img	Pons_L	8037	237.0000	923.0000	697.6988	66.8520	
Normal04.img	Pons_R	8897	143.0000	894.0000	701.3894	67.2328	
Normal04.img	Medulla_L	2175	121.0000	767.0000	521.5500	97.1116	
Normal04.img	Medulla_R	2896	91.0000	734.0000	532.5322	81.0582	
Normal04.img	AnteriorWM_L	79896	381.0000	1333.0000	934.5476	96.5056	
